Name;B1;B11;B12;B2;B3;B4;B5;B6;B7;B8;B8A;B9;real;ppn;svm;tree;lr;forest;knn;ac;k_means
pin_763;0.0249;0.4155;0.3086;0.0305;0.0431;0.0838;0.1075;0.1272;0.152;0.1862;0.2039;0.2066;6;6;6;6;6;6;6;6;6
pin_205;0.0093;0.006;0.0045;0.0065;0.0068;0.0063;0.0043;0.0024;0.0034;0.0032;0.0028;0.0031;2;2;2;2;2;2;2;10;10
pin_993;0.0583;0.1294;0.1153;0.0313;0.0341;0.0374;0.0768;0.1128;0.1117;0.0661;0.1108;0.1836;7;7;7;7;7;7;7;3;7
pin_15;0.0862;0.24;0.2547;0.1676;0.1904;0.2118;0.2292;0.2243;0.2187;0.225;0.2126;0.239;1;1;1;1;1;1;1;5;5
pin_313;0.0229;0.1396;0.08;0.0255;0.0387;0.0364;0.0713;0.1386;0.1583;0.172;0.1733;0.1772;3;3;3;3;3;3;3;3;3
pin_1145;0.038;0.1783;0.12;0.0483;0.0647;0.0634;0.1077;0.1936;0.2104;0.2462;0.2308;0.3112;9;9;9;9;9;9;9;9;9
pin_467;0.0203;0.1603;0.0757;0.0202;0.0595;0.0248;0.1032;0.2794;0.3164;0.3316;0.3511;0.3196;4;4;4;4;4;4;4;4;4
pin_675;0.0661;0.3901;0.391;0.1526;0.2082;0.2512;0.3072;0.3254;0.3156;0.334;0.3279;0.2855;5;5;5;5;5;5;5;5;5
pin_990;0.068;0.1265;0.1077;0.0363;0.0318;0.0385;0.072;0.0803;0.0894;0.058;0.0918;0.1762;7;7;7;7;7;7;7;3;7
pin_1251;0.0109;0.0042;0.0026;0.0051;0.0056;0.0063;0.0065;0.0051;0.0038;0.0042;0.0037;0.0039;10;2;10;10;10;10;10;10;10
pin_125;0.1391;0.2592;0.2691;0.2066;0.222;0.2392;0.2341;0.2267;0.227;0.2458;0.2185;0.2479;1;1;1;1;1;1;1;1;1
pin_620;0.0689;0.353;0.3526;0.1336;0.1852;0.2236;0.277;0.2962;0.2976;0.3176;0.3146;0.2546;5;5;5;5;5;5;5;5;5
pin_941;0.0511;0.1259;0.1265;0.0583;0.0636;0.0758;0.0935;0.1053;0.1016;0.0865;0.1053;0.1019;7;6;7;7;7;7;7;3;7
pin_10;0.0862;0.2384;0.2387;0.1872;0.2082;0.2184;0.202;0.2112;0.2121;0.2238;0.2075;0.239;1;1;1;1;1;1;1;5;1
pin_252;0.0091;0.0048;0.0018;0.007;0.005;0.0057;0.0049;0.0036;0.0042;0.0028;0.0045;0.0031;2;2;2;2;2;2;2;10;10
pin_591;0.0179;0.1543;0.071;0.0161;0.0465;0.0205;0.09;0.2673;0.3072;0.358;0.33;0.3182;4;4;4;4;4;4;4;4;4
pin_793;0.0248;0.4158;0.3174;0.0263;0.0403;0.0787;0.1003;0.1194;0.1445;0.1762;0.1994;0.2018;6;6;6;6;6;6;6;6;6
pin_228;0.0091;0.0058;0.0023;0.0058;0.0053;0.0064;0.0044;0.0022;0.0036;0.0025;0.0031;0.0031;2;2;2;2;2;2;2;10;10
pin_507;0.018;0.1566;0.0777;0.0172;0.0438;0.0201;0.0913;0.2701;0.2876;0.2964;0.314;0.3084;4;4;4;4;4;4;4;4;4
pin_1091;0.0489;0.1783;0.1378;0.0445;0.0678;0.0811;0.1164;0.1874;0.1993;0.2686;0.2045;0.2866;9;9;9;9;9;9;9;9;9
pin_277;0.0091;0.0052;0.0041;0.0061;0.0081;0.0065;0.0051;0.0032;0.0036;0.0031;0.0035;0.0031;2;2;2;2;2;2;2;10;10
pin_566;0.0179;0.1519;0.0721;0.0166;0.0394;0.0169;0.0821;0.2387;0.2675;0.2714;0.2821;0.3182;4;4;4;4;4;4;4;4;4
pin_761;0.0249;0.4275;0.3277;0.0305;0.0433;0.0864;0.1099;0.1309;0.157;0.1896;0.2089;0.2066;6;6;6;6;6;6;6;6;6
pin_216;0.0093;0.005;0.0033;0.0055;0.0059;0.0067;0.0052;0.003;0.0042;0.0033;0.0036;0.0031;2;2;2;2;2;2;2;10;10
pin_1115;0.0532;0.2366;0.1811;0.0457;0.0778;0.081;0.1409;0.2258;0.2557;0.3452;0.2427;0.2527;9;5;9;9;9;9;9;9;9
pin_62;0.1611;0.3626;0.3616;0.2408;0.268;0.2834;0.3576;0.3654;0.3742;0.292;0.3595;0.26;1;1;1;1;1;1;1;1;1
pin_93;0.1618;0.3787;0.3593;0.5308;0.4596;0.5152;0.4431;0.4063;0.3963;0.5528;0.3865;0.2682;1;1;1;1;1;1;1;1;1
pin_963;0.0415;0.1035;0.0856;0.0391;0.0515;0.0507;0.0684;0.0757;0.1034;0.1114;0.0836;0.1075;7;6;7;7;7;7;7;3;7
pin_962;0.0415;0.0748;0.0624;0.0383;0.0459;0.0519;0.0539;0.0831;0.0669;0.0946;0.0817;0.1075;7;7;7;7;7;7;7;3;7
pin_459;0.02;0.1638;0.0782;0.0152;0.0548;0.0218;0.0933;0.2731;0.3091;0.3306;0.3297;0.3195;4;4;4;4;4;4;4;4;4
pin_76;0.1611;0.3698;0.3646;0.289;0.3038;0.344;0.3828;0.3874;0.3598;0.3316;0.3648;0.26;1;1;1;1;1;1;1;1;1
pin_398;0.0214;0.1339;0.0749;0.0215;0.0393;0.0331;0.0691;0.1394;0.1546;0.178;0.1738;0.1729;3;3;3;3;3;3;3;3;3
pin_141;0.1618;0.3255;0.2638;0.1128;0.1318;0.1636;0.2484;0.2884;0.3047;0.2808;0.3133;0.2682;1;1;1;1;1;1;1;1;1
pin_513;0.018;0.1482;0.0689;0.0162;0.0479;0.0178;0.0907;0.2589;0.2909;0.3078;0.3117;0.3156;4;4;4;4;4;4;4;4;4
pin_901;0.0576;0.1138;0.1084;0.0352;0.0404;0.0419;0.0693;0.0799;0.0834;0.0621;0.0912;0.1197;7;7;7;7;7;7;7;3;7
pin_1247;0.0114;0.0037;0.003;0.0043;0.0057;0.0074;0.0066;0.0045;0.0034;0.0044;0.0033;0.0016;10;6;10;10;10;10;10;10;10
pin_462;0.02;0.1641;0.0772;0.0203;0.0576;0.025;0.1003;0.2966;0.331;0.3598;0.3512;0.3195;4;4;4;4;4;4;4;4;4
pin_917;0.0414;0.077;0.0681;0.0378;0.0415;0.049;0.0581;0.0561;0.075;0.0687;0.0597;0.0999;7;7;7;7;7;7;7;3;7
pin_427;0.0215;0.139;0.0811;0.0239;0.0392;0.0359;0.0721;0.1413;0.159;0.176;0.1799;0.1761;3;3;3;3;3;3;3;3;3
pin_1093;0.0489;0.19;0.1315;0.0442;0.0645;0.0919;0.1167;0.1712;0.1969;0.2064;0.1954;0.2866;9;9;9;9;9;9;9;9;9
pin_157;0.0088;0.0054;0.0044;0.0071;0.0052;0.0059;0.0056;0.0024;0.0035;0.0031;0.0042;0.003;2;2;2;2;2;2;2;10;10
pin_1164;0.012;0.0028;0.0021;0.0069;0.0061;0.0066;0.007;0.0042;0.0037;0.0035;0.0025;0.0016;10;6;10;10;10;10;10;10;10
pin_1043;0.0453;0.1993;0.1408;0.0505;0.0787;0.0704;0.1309;0.2022;0.2312;0.2846;0.2608;0.3187;9;9;9;9;9;9;9;9;9
pin_9;0.0862;0.2384;0.2387;0.1526;0.1706;0.2002;0.202;0.2112;0.2121;0.2192;0.2075;0.239;1;1;1;1;1;1;1;5;5
pin_713;0.0627;0.3393;0.3451;0.1128;0.1618;0.1882;0.2796;0.3029;0.3097;0.3044;0.3103;0.268;5;5;5;5;5;5;5;5;5
pin_1184;0.012;0.0034;0.0034;0.0049;0.006;0.0077;0.0065;0.0033;0.0038;0.0039;0.0024;0.0029;10;6;10;10;10;10;10;10;10
pin_944;0.0511;0.0939;0.0831;0.045;0.0495;0.0582;0.0664;0.0663;0.0664;0.0693;0.0706;0.1019;7;7;7;7;7;7;7;3;7
pin_1229;0.0117;0.0035;0.002;0.004;0.0043;0.0078;0.0072;0.0046;0.0033;0.0051;0.0023;0.0021;10;6;10;10;10;10;10;10;10
pin_28;0.1395;0.2213;0.2266;0.129;0.15;0.1726;0.1913;0.1946;0.1919;0.2018;0.1973;0.2411;1;1;1;1;1;1;1;1;1
pin_774;0.0249;0.4125;0.3059;0.0293;0.0448;0.0869;0.108;0.1277;0.1538;0.1898;0.201;0.2066;6;6;6;6;6;6;6;6;6
pin_1298;0.0142;0.0048;0.0032;0.0067;0.0059;0.0076;0.008;0.0064;0.0054;0.0062;0.005;0.0325;10;7;10;10;10;10;10;10;10
pin_655;0.0612;0.3029;0.2808;0.1634;0.2092;0.2618;0.2462;0.2527;0.2542;0.3142;0.2704;0.1666;5;5;5;5;5;5;5;5;5
pin_409;0.0229;0.1387;0.0853;0.0218;0.0391;0.0334;0.0721;0.1357;0.1583;0.176;0.1724;0.1772;3;3;3;3;3;3;3;3;3
pin_417;0.0229;0.1346;0.0761;0.0236;0.04;0.0377;0.0706;0.1365;0.1557;0.1748;0.1752;0.1772;3;3;3;3;3;3;3;3;3
pin_826;0.025;0.3585;0.2965;0.0327;0.0429;0.0839;0.0996;0.1207;0.1436;0.1858;0.1874;0.1889;6;6;6;6;6;6;6;6;6
pin_296;0.0091;0.0049;0.0041;0.0065;0.0058;0.0047;0.0053;0.0012;0.003;0.003;0.0029;0.0031;2;2;2;2;2;2;2;10;10
pin_365;0.0229;0.1411;0.0799;0.0253;0.0436;0.0397;0.0742;0.1409;0.1602;0.186;0.177;0.1772;3;3;3;3;3;3;3;3;3
pin_1110;0.0489;0.2396;0.1332;0.0437;0.0817;0.0861;0.1569;0.2824;0.3097;0.362;0.3418;0.3117;9;3;9;9;9;9;9;4;4
pin_255;0.0093;0.0054;0.0032;0.0076;0.0046;0.0059;0.0047;0.0029;0.0036;0.0033;0.0036;0.0031;2;2;2;2;2;2;2;10;10
pin_466;0.0203;0.1471;0.0694;0.0181;0.0462;0.0212;0.0902;0.2562;0.2895;0.2798;0.32;0.3196;4;4;4;4;4;4;4;4;4
pin_868;0.025;0.3688;0.3063;0.0317;0.0439;0.0821;0.1014;0.1204;0.1448;0.1762;0.1897;0.1889;6;6;6;6;6;6;6;6;6
pin_732;0.0481;0.3041;0.2821;0.1026;0.1596;0.1868;0.221;0.2643;0.2899;0.3216;0.292;0.226;5;5;5;5;5;5;5;5;5
pin_406;0.0229;0.1387;0.0853;0.0237;0.0407;0.0365;0.0721;0.1357;0.1583;0.1654;0.1724;0.1772;3;6;3;3;3;3;3;3;3
pin_1295;0.0118;0.005;0.0035;0.0052;0.0071;0.0075;0.0079;0.0047;0.0049;0.0077;0.0038;0.011;10;6;10;10;10;10;10;10;10
pin_668;0.0612;0.3364;0.3624;0.1744;0.2172;0.2778;0.2871;0.2826;0.3011;0.3284;0.2999;0.1666;5;5;5;5;5;5;5;5;5
pin_906;0.0414;0.0917;0.0822;0.0364;0.0402;0.0494;0.0544;0.0528;0.0622;0.0658;0.0634;0.1125;7;7;7;7;7;7;7;3;7
pin_1002;0.0583;0.2105;0.1625;0.0489;0.0684;0.0807;0.1341;0.2471;0.2718;0.2232;0.2725;0.2661;9;6;9;9;9;9;9;9;9
pin_212;0.0091;0.0055;0.0045;0.0055;0.005;0.0049;0.0039;0.0015;0.0033;0.0025;0.0035;0.0036;2;2;2;2;2;2;2;10;10
pin_748;0.07;0.3494;0.3433;0.118;0.1628;0.2058;0.2889;0.3088;0.313;0.3218;0.3098;0.2605;5;5;5;5;5;5;5;5;5
pin_232;0.0091;0.0049;0.0036;0.0081;0.0059;0.0068;0.0048;0.0023;0.0019;0.0027;0.0031;0.0031;2;2;2;2;2;2;2;10;10
pin_800;0.0249;0.4269;0.32;0.0301;0.0425;0.0855;0.1103;0.1281;0.154;0.191;0.2112;0.2066;6;6;6;6;6;6;6;6;6
pin_193;0.0094;0.0054;0.0044;0.0086;0.006;0.0063;0.0064;0.0039;0.0046;0.0042;0.0039;0.0052;2;2;2;2;2;2;2;10;10
pin_609;0.0693;0.3726;0.3688;0.1554;0.2056;0.272;0.3061;0.3093;0.3226;0.3264;0.3219;0.2118;5;5;5;5;5;5;5;5;5
pin_865;0.025;0.3718;0.309;0.0317;0.0444;0.0861;0.1018;0.1215;0.1454;0.182;0.1932;0.1889;6;6;6;6;6;6;6;6;6
pin_531;0.018;0.1488;0.0699;0.0194;0.0478;0.0197;0.0845;0.2401;0.2585;0.311;0.2787;0.3084;4;4;4;4;4;4;4;4;4
pin_490;0.0203;0.1596;0.0778;0.0175;0.0494;0.0235;0.0929;0.257;0.281;0.3094;0.2973;0.3184;4;4;4;4;4;4;4;4;4
pin_718;0.043;0.2492;0.2419;0.1298;0.168;0.2202;0.2117;0.2087;0.2194;0.2596;0.2071;0.143;5;5;5;5;5;5;5;5;5
pin_1232;0.0117;0.0039;0.0026;0.0056;0.0069;0.0065;0.0073;0.0047;0.0031;0.0069;0.0049;0.0051;10;6;10;10;10;10;10;10;10
pin_760;0.0248;0.426;0.3255;0.0301;0.0433;0.0839;0.1049;0.1239;0.149;0.18;0.1966;0.2018;6;6;6;6;6;6;6;6;6
pin_1291;0.0119;0.004;0.0023;0.004;0.0072;0.0087;0.0075;0.0036;0.0031;0.0049;0.0035;0.0021;10;6;10;10;10;10;10;10;10
pin_989;0.0564;0.1105;0.0952;0.0364;0.0398;0.0432;0.0604;0.0777;0.0773;0.0796;0.0897;0.181;7;7;7;7;7;7;7;3;7
pin_446;0.0215;0.1283;0.0729;0.0204;0.0371;0.0309;0.0682;0.1353;0.1533;0.1644;0.1707;0.1761;3;3;3;3;3;3;3;3;3
pin_658;0.0612;0.3029;0.2808;0.1368;0.187;0.2276;0.2462;0.2527;0.2542;0.303;0.2704;0.1666;5;5;5;5;5;5;5;5;5
pin_823;0.025;0.3718;0.309;0.0311;0.0439;0.0848;0.1018;0.1215;0.1454;0.1814;0.1932;0.1889;6;6;6;6;6;6;6;6;6
pin_323;0.0227;0.1423;0.0813;0.0246;0.039;0.0385;0.0725;0.1389;0.1599;0.1702;0.1761;0.1804;3;3;3;3;3;3;3;3;3
pin_242;0.0091;0.0053;0.0036;0.0056;0.0053;0.0049;0.0046;0.0028;0.0033;0.0039;0.0036;0.0033;2;2;2;2;2;2;2;10;10
pin_487;0.0202;0.1515;0.0694;0.0166;0.0502;0.0195;0.0912;0.2582;0.2952;0.3286;0.3167;0.3377;4;4;4;4;4;4;4;4;4
pin_864;0.0234;0.3843;0.3156;0.0302;0.0428;0.0836;0.0985;0.1175;0.1422;0.179;0.1901;0.1841;6;6;6;6;6;6;6;6;6
pin_225;0.0091;0.0052;0.0022;0.0048;0.0062;0.006;0.0045;0.0026;0.0034;0.0023;0.0039;0.0031;2;2;2;2;2;2;2;10;10
pin_407;0.0229;0.1387;0.0853;0.0228;0.041;0.0409;0.0721;0.1357;0.1583;0.1582;0.1724;0.1772;3;6;3;3;3;3;3;3;3
pin_506;0.018;0.1504;0.0704;0.0146;0.0501;0.0186;0.0947;0.2517;0.2912;0.2814;0.3101;0.3084;4;4;4;4;4;4;4;4;4
pin_694;0.0661;0.3391;0.3212;0.1;0.1344;0.1698;0.2345;0.2865;0.2939;0.28;0.3111;0.2855;5;5;5;5;5;5;5;5;5
pin_723;0.043;0.3231;0.298;0.11;0.1578;0.1972;0.2605;0.2805;0.2917;0.3034;0.2975;0.143;5;5;5;5;5;5;5;5;5
pin_611;0.0693;0.3726;0.3688;0.138;0.1834;0.2266;0.3061;0.3093;0.3226;0.3164;0.3219;0.2118;5;5;5;5;5;5;5;5;5
pin_1019;0.0583;0.2105;0.1625;0.0481;0.0793;0.0813;0.1341;0.2471;0.2718;0.2894;0.2725;0.2661;9;6;9;9;9;9;9;9;9
pin_537;0.018;0.1525;0.0711;0.0187;0.0576;0.0211;0.0897;0.267;0.2851;0.3558;0.3064;0.3156;4;4;4;4;4;4;4;4;4
pin_888;0.0221;0.3873;0.3008;0.0257;0.0389;0.0735;0.0898;0.111;0.1342;0.1726;0.1847;0.1883;6;6;6;6;6;6;6;6;6
pin_1040;0.0453;0.1841;0.1156;0.0406;0.0601;0.0852;0.1221;0.2162;0.2461;0.2344;0.2865;0.3187;9;9;9;9;9;9;9;9;9
pin_329;0.0229;0.1417;0.0829;0.0275;0.0406;0.0401;0.0743;0.1403;0.1599;0.1758;0.1754;0.1772;3;3;3;3;3;3;3;3;3
pin_35;0.1395;0.2348;0.2274;0.1402;0.1744;0.2002;0.1994;0.1986;0.1986;0.2176;0.2007;0.2411;1;1;1;1;1;1;1;1;1
pin_1155;0.0112;0.0034;0.0024;0.0058;0.0061;0.0082;0.0067;0.0039;0.0043;0.0056;0.0033;0.0033;10;6;10;10;10;10;10;10;10
pin_812;0.0234;0.3869;0.3078;0.0267;0.0364;0.0729;0.0939;0.1115;0.1373;0.1666;0.1855;0.1841;6;6;6;6;6;6;6;6;6
pin_1082;0.0528;0.1918;0.153;0.052;0.0731;0.0774;0.1199;0.2042;0.2239;0.2238;0.2399;0.2752;9;9;9;9;9;9;9;9;9
pin_773;0.0249;0.4125;0.3059;0.0283;0.0437;0.0869;0.108;0.1277;0.1538;0.1902;0.201;0.2066;6;6;6;6;6;6;6;6;6
pin_534;0.018;0.1538;0.0695;0.017;0.0441;0.0171;0.092;0.2739;0.29;0.3078;0.3128;0.3156;4;4;4;4;4;4;4;4;4
pin_931;0.0503;0.138;0.1066;0.028;0.0354;0.0393;0.0718;0.0951;0.1037;0.106;0.1024;0.1428;7;7;7;7;7;7;7;3;7
pin_996;0.068;0.1265;0.1077;0.0611;0.0589;0.0705;0.072;0.0803;0.0894;0.0961;0.0918;0.1762;7;7;7;7;7;7;7;3;7
pin_527;0.018;0.1478;0.0702;0.0165;0.0466;0.0199;0.0901;0.2621;0.2874;0.299;0.3091;0.3084;4;4;4;4;4;4;4;4;4
pin_1149;0.038;0.2265;0.1567;0.0414;0.073;0.0585;0.1403;0.2712;0.3149;0.3708;0.3272;0.3112;9;4;9;9;9;9;9;4;4
pin_284;0.0091;0.0059;0.004;0.0054;0.0059;0.0048;0.0059;0.0037;0.0042;0.0042;0.0045;0.0033;2;2;2;2;2;2;2;10;10
pin_960;0.042;0.1522;0.1285;0.043;0.0506;0.0611;0.0971;0.1562;0.1467;0.1198;0.1694;0.1465;7;6;7;7;7;7;7;3;3
pin_1139;0.0478;0.1832;0.1333;0.0602;0.0714;0.0773;0.1143;0.1733;0.1919;0.191;0.2101;0.3447;9;9;9;9;9;9;9;9;9
pin_688;0.0526;0.3215;0.3183;0.162;0.2148;0.2714;0.2733;0.2738;0.2614;0.3222;0.2675;0.1702;5;5;5;5;5;5;5;5;5
pin_749;0.07;0.3377;0.3299;0.1466;0.191;0.241;0.2539;0.2694;0.2739;0.3248;0.2806;0.2605;5;5;5;5;5;5;5;5;5
pin_195;0.0094;0.005;0.0044;0.0071;0.0062;0.0063;0.0057;0.0034;0.0045;0.0035;0.0046;0.0052;2;2;2;2;2;2;2;10;10
pin_241;0.0091;0.0053;0.0036;0.0073;0.0054;0.006;0.0046;0.0028;0.0033;0.0035;0.0036;0.0033;2;2;2;2;2;2;2;10;10
pin_541;0.018;0.1525;0.0711;0.0186;0.0478;0.0203;0.0897;0.267;0.2851;0.3124;0.3064;0.3156;4;4;4;4;4;4;4;4;4
pin_1138;0.038;0.2154;0.1521;0.0476;0.0675;0.0594;0.1319;0.2303;0.2499;0.242;0.2784;0.3112;9;9;9;9;9;9;9;9;9
pin_547;0.018;0.1488;0.0699;0.0159;0.0396;0.0189;0.0845;0.2401;0.2585;0.2468;0.2787;0.3084;4;4;4;4;4;4;4;4;4
pin_1244;0.0114;0.003;0.0018;0.0057;0.0074;0.0085;0.007;0.003;0.0033;0.0047;0.0031;0.0026;10;6;10;10;10;10;10;10;10
pin_426;0.0215;0.139;0.0811;0.022;0.037;0.0348;0.0721;0.1413;0.159;0.1666;0.1799;0.1761;3;3;3;3;3;3;3;3;3
pin_679;0.0661;0.3462;0.3293;0.1632;0.2112;0.274;0.2711;0.2816;0.2825;0.3168;0.2789;0.2855;5;5;5;5;5;5;5;5;5
pin_50;0.1395;0.2667;0.2679;0.1798;0.2154;0.2276;0.2473;0.2469;0.2251;0.246;0.24;0.2411;1;1;1;1;1;1;1;1;1
pin_568;0.0179;0.1495;0.0691;0.0158;0.0494;0.0169;0.0839;0.2529;0.2922;0.3052;0.3131;0.3182;4;4;4;4;4;4;4;4;4
pin_270;0.0093;0.0054;0.0032;0.0072;0.007;0.0062;0.0047;0.0029;0.0036;0.0032;0.0036;0.0031;2;2;2;2;2;2;2;10;10
pin_894;0.0211;0.3802;0.3014;0.0265;0.0363;0.0711;0.0935;0.1086;0.1342;0.1594;0.1812;0.179;6;6;6;6;6;6;6;6;6
pin_1210;0.0115;0.0034;0.003;0.0045;0.0054;0.0062;0.0081;0.0031;0.0045;0.0042;0.0055;0.0014;10;6;10;10;10;10;10;10;10
pin_1175;0.0117;0.0043;0.0032;0.0032;0.0057;0.0077;0.007;0.0039;0.0041;0.0037;0.0027;0.0021;10;6;10;10;10;10;10;10;10
pin_550;0.018;0.1478;0.0702;0.0165;0.0481;0.0178;0.0901;0.2621;0.2874;0.2886;0.3091;0.3084;4;4;4;4;4;4;4;4;4
pin_922;0.0366;0.1089;0.0926;0.034;0.044;0.0458;0.0424;0.0574;0.0708;0.0982;0.0704;0.1399;7;7;7;7;7;7;7;3;7
pin_400;0.0214;0.1386;0.0821;0.0182;0.0353;0.0316;0.0727;0.135;0.1532;0.1606;0.172;0.1729;3;3;3;3;3;3;3;3;3
